artist_name;title;release;year;artist_familiarity;artist_hotttnesss;artist_latitude;artist_longitude;duration;end_of_fade_in;key;key_confidence;loudness;mode;mode_confidence;song_hotttnesss;start_of_fade_out;tempo;time_signature;time_signature_confidence
Blue Rodeo;Floating;Outskirts;1987;0.63642364495006976;0.44793548047950221;43.648560000000003;-79.385329999999996;491.12770999999998;0.0;7;1.0;-8.5760000000000005;1;0.82899999999999996;0.40511572169138649;486.03399999999999;119.82599999999999;4;0.75600000000000001
Scarlet's Remains;Spin;The Palest Grey;2007;0.52786507615868183;0.39312193357100678;34.053489999999996;-118.24532000000001;198.73913999999999;0.0;7;0.67300000000000004;-7.4690000000000003;1;0.57899999999999996;0.45099231163625503;193.01599999999999;115.06100000000001;4;0.73099999999999998
Eliane Elias;The More I See You;Bossa Nova Stories;2009;0.66972618756614455;0.42791424698295477;-23.56287;-46.65466;251.42812000000001;0.070999999999999994;7;0.39100000000000001;-12009;1;0.31900000000000001;0.43483809026085618;237.59800000000001;86.090999999999994;5;0.55100000000000005
Kings Of Leon;Wicker Chair;Holy Roller Novocaine;2003;0.84576886644854377;0.78880593516201425;36.16778;-86.778360000000006;187.92444;0.32800000000000001;0;0.61199999999999999;-5907;1;0.73499999999999999;0.68594022669768517;180.34399999999999;116.82299999999999;4;0.34699999999999998
Heavy D / McGruff;Wanna Be A Player;Waterbed Hev;1997;0.61787011634434974;0.36366811024462387;18.115259999999999;-77.273480000000006;161.38404;0.16500000000000001;5;0.66500000000000004;-9.1609999999999996;0;0.60599999999999998;0.23773394162247466;161.38399999999999;96.978999999999999;4;0.89500000000000002
T.G. Sheppard;You Feel Good All Over;The Very Best Of;2002;0.44932361520766173;0.34328188178708335;35.822130000000001;-88.915989999999994;194.11546000000001;0.088999999999999996;5;1.0;-15581;1;0.88600000000000001;0.38272328078919771;182.72900000000001;82.343000000000004;1;0.38700000000000001
Inspiral Carpets;Commercial Reign;The Singles;1990;0.60510970191485802;0.39854753538058046;53.479599999999998;-2.2488100000000002;283.76771000000002;0.0;2;0.82299999999999995;-8.6999999999999993;1;0.68999999999999995;0.66517224076219728;271.82999999999998;113.67700000000001;4;1.0
Maxi Priest;Groovin' In The Midnight;Best Of Maxi Priest;1991;0.66100133710114539;0.44689072654931333;54.313920000000003;-2.2321800000000001;301.81832000000003;2.5659999999999998;10;0.68300000000000005;-8.0950000000000006;0;0.54900000000000004;0.34580223396532944;289.33199999999999;61.970999999999997;1;0.39700000000000002
Suzanne Ciani;Mozart;Pianissimo;1989;0.63194666599836713;0.38070453582445729;37.779159999999997;-122.42005;192.20853;0.35699999999999998;2;0.52300000000000002;-23988;1;0.53700000000000003;0.6085000789194116;183.22900000000001;139.18899999999999;3;0.41799999999999998
Gary Moore;What Are We Here For;Dark Days In Paradise;1997;0.76136223844586182;0.46711064858454943;54.595799999999997;-5.9349400000000001;345.93914000000001;0.41599999999999998;2;0.040000000000000001;-6.9509999999999996;1;0.14799999999999999;0.44713579628617778;339.75400000000002;153.86199999999999;4;0.40400000000000003
Byther Smith;I Wish My Mother Was Here;Addressing The Nation With The Blues;1989;0.46519473334248795;0.3622840901263234;31.553789999999999;-90.107849999999999;418.87302;0.26400000000000001;1;0.82599999999999996;-11702;1;0.91200000000000003;0.43735176138727572;411.48099999999999;117.16800000000001;3;1.0
James Horner;Atmosphere Station;Aliens - The Deluxe Edition;1986;0.67951920779280617;0.49182870435313802;34.053489999999996;-118.24532000000001;191.81668999999999;3.1459999999999999;9;0.13700000000000001;-38.524999999999999;1;0.39900000000000002;0.54523029389836131;179.86799999999999;90.084000000000003;1;0.34200000000000003
Rah Digga (Featuring Outsidaz);The Last Word (Amended Version);Dirty Harriet;2000;0.58323160458786716;0.41144814277843267;40.143230000000003;-74.726709999999997;256.80934000000002;0.0;7;0.63800000000000001;-7.3070000000000004;1;0.68400000000000005;0.40511572169138649;242.94999999999999;201.80199999999999;3;0.89600000000000002
Blue Rodeo;Floating;Outskirts;1987;0.63642364495006976;0.44793548047950221;43.648560000000003;-79.385329999999996;491.12770999999998;0.0;7;1.0;-8.5760000000000005;1;0.82899999999999996;0.40511572169138649;486.03399999999999;119.82599999999999;4;0.75600000000000001
Scarlet's Remains;Spin;The Palest Grey;2007;0.52786507615868183;0.39312193357100678;34.053489999999996;-118.24532000000001;198.73913999999999;0.0;7;0.67300000000000004;-7.4690000000000003;1;0.57899999999999996;0.45099231163625503;193.01599999999999;115.06100000000001;4;0.73099999999999998
Eliane Elias;The More I See You;Bossa Nova Stories;2009;0.66972618756614455;0.42791424698295477;-23.56287;-46.65466;251.42812000000001;0.070999999999999994;7;0.39100000000000001;-12009;1;0.31900000000000001;0.43483809026085618;237.59800000000001;86.090999999999994;5;0.55100000000000005
Kings Of Leon;Wicker Chair;Holy Roller Novocaine;2003;0.84576886644854377;0.78880593516201425;36.16778;-86.778360000000006;187.92444;0.32800000000000001;0;0.61199999999999999;-5907;1;0.73499999999999999;0.68594022669768517;180.34399999999999;116.82299999999999;4;0.34699999999999998
Heavy D / McGruff;Wanna Be A Player;Waterbed Hev;1997;0.61787011634434974;0.36366811024462387;18.115259999999999;-77.273480000000006;161.38404;0.16500000000000001;5;0.66500000000000004;-9.1609999999999996;0;0.60599999999999998;0.23773394162247466;161.38399999999999;96.978999999999999;4;0.89500000000000002
